row_num,month,date,set_1,set_2,set_3,set_4,set_5,secs
0,Sep,9/1/15,58.3,91.3,91.1,179.5,0,420.2
1,Sep,9/5/15,57.4,80.1,98.6,98.6,92.3,427
2,Sep,9/6/15,43.8,90.2,109.3,117.7,88.8,449.8
3,Sep,9/7/15,46,106.4,231.1,0,0,383.5
4,Sep,9/10/15,44.1,93.5,104.2,117.7,104.1,463.6
5,Sep,9/14/15,37.8,110.8,114,209,0,471.6
6,Sep,9/16/15,40.1,83.4,87.9,107.4,97.4,416.2
7,Sep,9/21/15,36.9,79.8,90.6,99,90.2,396.5
8,Sep,9/22/15,42.5,92.3,114.3,127.1,92.5,468.7
9,Sep,9/23/15,37.2,81.1,91.1,99.8,76.8,386
10,Sep,9/24/15,32.5,71.4,86.2,115.6,82.1,387.8
11,Sep,9/26/15,34.1,87.9,93.7,105.7,85.1,406.5
12,Sep,9/28/15,32.9,70.1,97.8,86,83,369.8
13,Sep,9/29/15,32.1,75.7,88.6,83.4,82.2,362
14,Sep,9/30/15,32.8,77.5,86,91.5,73.2,361
15,Oct,10/1/15,48.2,122.3,138.5,151.9,170.1,631.0
16,Oct,10/5/15,38.1,96.5,109.0,142.6,145.8,531.9
17,Oct,10/6/15,31.5,105.2,130.5,138.3,142.8,548.3
18,Oct,10/8/15,47.8,119.7,121.1,127.8,157.7,574.1
19,Oct,10/9/15,43.4,121.4,105.9,116.4,158.2,545.3
20,Oct,10/10/15,49.1,116.2,123.2,118.6,154.7,561.8
21,Oct,10/12/15,45.6,106.9,106.3,119.2,141.4,519.5
22,Oct,10/13/15,44.8,96.1,138.1,139.3,154.5,572.7
23,Oct,10/14/15,49.7,115.4,141.2,141.0,151.4,598.7
24,Oct,10/16/15,34.2,109.2,137.9,123.2,154.5,559.1
25,Oct,10/18/15,31.1,92.3,137.1,148.9,160.5,570.0
26,Oct,10/19/15,45.1,115.6,125.5,142.6,141.6,570.5
27,Oct,10/21/15,49.3,87.1,120.8,143.3,137.8,538.3
28,Oct,10/23/15,34.1,101.6,114.2,127.4,143.2,520.5
29,Oct,10/24/15,44.3,124.7,126.4,132.7,164.0,592.1
