date	Set 1	Set 2	Set 3	Set 4	Set 5
2015 SEP 5	13.44	18.76	23.09	23.09	21.62
2015 SEP 6	9.74	20.05	24.30	26.17	19.74
2015 SEP 10	9.51	20.17	22.48	25.39	22.45
2015 SEP 14	8.02	23.49	24.17	44.32	0.00
2015 SEP 16	9.63	20.04	21.12	25.80	23.40
2015 SEP 21	9.31	20.13	22.85	24.97	22.75
2015 SEP 22	9.07	19.69	24.39	27.12	19.74
2015 SEP 23	9.64	21.01	23.60	25.85	19.90
2015 SEP 24	8.38	18.41	22.23	29.81	21.17
2015 SEP 26	8.39	21.62	23.05	26.00	20.93
2015 SEP 28	8.90	18.96	26.45	23.26	22.44
2015 SEP 22	8.87	20.91	24.48	23.04	22.71
2015 SEP 30	9.09	21.47	23.82	25.35	20.28
